date,machine_name,region_id,dam,fly_id,status,round,experiment,sd,sex,genotype,hours_sd,type_sd
2016-04-19_09-31-05,ETHOSCOPE_023,1,3,2,ok,1,4,T,F,CS,12,shaker
2016-04-19_09-31-49,ETHOSCOPE_025,1,3,3,dead,1,4,T,F,CS,12,shaker
2016-04-19_09-32-18,ETHOSCOPE_024,1,3,4,ok,1,4,T,F,CS,12,shaker
2016-04-19_09-55-34,ETHOSCOPE_021,1,4,1,ok,1,4,F,F,CS,12,shaker
2016-04-19_09-55-47,ETHOSCOPE_023,1,4,2,ok,1,4,F,F,CS,12,shaker
2016-04-19_09-56-06,ETHOSCOPE_025,1,4,3,ok,1,4,F,F,CS,12,shaker
2016-04-19_09-56-23,ETHOSCOPE_024,1,4,4,ok,1,4,F,F,CS,12,shaker
2016-04-19_10-35-39,ETHOSCOPE_021,1,3,5,ok,1,4,T,F,CS,12,shaker
2016-04-19_10-36-11,ETHOSCOPE_023,1,3,6,ok,1,4,T,F,CS,12,shaker
2016-04-19_10-37-22,ETHOSCOPE_025,1,3,7,ok,1,4,T,F,CS,12,shaker
2016-04-19_10-39-17,ETHOSCOPE_024,1,3,8,ok,1,4,T,F,CS,12,shaker
2016-04-19_11-16-33,ETHOSCOPE_023,1,4,6,ok,1,4,F,F,CS,12,shaker
2016-04-19_11-15-23,ETHOSCOPE_025,1,4,7,ok,1,4,F,F,CS,12,shaker
2016-04-19_11-15-21,ETHOSCOPE_024,1,4,8,ok,1,4,F,F,CS,12,shaker
2016-04-19_11-51-40,ETHOSCOPE_021,1,3,9,ok,1,4,T,F,CS,12,shaker
2016-04-19_11-53-03,ETHOSCOPE_023,1,3,10,ok,1,4,T,F,CS,12,shaker
2016-04-19_11-51-38,ETHOSCOPE_025,1,3,11,ok,1,4,T,F,CS,12,shaker
2016-04-19_11-53-11,ETHOSCOPE_024,1,3,12,ok,1,4,T,F,CS,12,shaker
2016-04-19_12-18-22,ETHOSCOPE_021,1,4,9,ok,1,4,F,F,CS,12,shaker
2016-04-19_12-20-30,ETHOSCOPE_023,1,4,10,ok,1,4,F,F,CS,12,shaker
2016-04-19_12-21-27,ETHOSCOPE_025,1,4,11,ok,1,4,F,F,CS,12,shaker
2016-04-19_12-19-26,ETHOSCOPE_024,1,4,12,ok,1,4,F,F,CS,12,shaker
2016-04-22_09-42-18,ETHOSCOPE_021,1,4,1,ok,2,4,T,F,CS,12,shaker
2016-04-22_09-42-50,ETHOSCOPE_023,1,4,2,ok,2,4,T,F,CS,12,shaker
2016-04-22_09-44-06,ETHOSCOPE_024,1,4,4,ok,2,4,T,F,CS,12,shaker
2016-04-22_10-14-40,ETHOSCOPE_021,1,3,1,ok,2,4,F,F,CS,12,shaker
2016-04-22_10-15-32,ETHOSCOPE_023,1,3,2,ok,2,4,F,F,CS,12,shaker
2016-04-22_10-16-18,ETHOSCOPE_025,1,3,3,ok,2,4,F,F,CS,12,shaker
2016-04-22_10-16-30,ETHOSCOPE_024,1,3,4,ok,2,4,F,F,CS,12,shaker
2016-04-22_10-43-22,ETHOSCOPE_021,1,4,5,ok,2,4,T,F,CS,12,shaker
2016-04-22_10-43-46,ETHOSCOPE_023,1,4,6,ok,2,4,T,F,CS,12,shaker
2016-04-22_10-44-06,ETHOSCOPE_025,1,4,7,ok,2,4,T,F,CS,12,shaker
2016-04-22_10-44-27,ETHOSCOPE_024,1,4,8,ok,2,4,T,F,CS,12,shaker
2016-04-22_11-11-05,ETHOSCOPE_021,1,3,6,ok,2,4,F,F,CS,12,shaker
2016-04-22_11-13-20,ETHOSCOPE_023,1,3,7,ok,2,4,F,F,CS,12,shaker
